"Sample","N^-0.5","N^-0.75","N^-1","Golden Ratio","Golden Ratio Spiral","R2","R2 Spiral","R2 Jittered","White Noise","Hammersley","Sobol","Blue Noise","Projective Blue Noise","Projective Blue Noise 2"
"101","0.099504","0.031388","0.009901","0.318310","0.318310","0.001478","0.001478","0.001478","0.060884","0.018324","0.001478","0.001478","0.001478","0.001478"
"102","0.099015","0.031157","0.009804","0.318310","0.318310","0.004584","0.005220","0.005219","0.053604","0.015023","0.004584","0.004584","0.004584","0.004584"
"103","0.098533","0.030929","0.009709","0.318310","0.318310","0.007630","0.002078","0.011787","0.046465","0.011787","0.002078","0.007630","0.002078","0.002078"
"104","0.098058","0.030706","0.009615","0.318310","0.318310","0.001002","0.001002","0.008613","0.049079","0.008613","0.008613","0.010618","0.001002","0.008613"
"105","0.097590","0.030487","0.009524","0.318310","0.318310","0.005500","0.005500","0.005500","0.042119","0.015023","0.005500","0.004024","0.004024","0.005500"
"106","0.097129","0.030271","0.009434","0.318310","0.318310","0.002445","0.002445","0.011879","0.044725","0.011879","0.002445","0.002445","0.006989","0.002445"
"107","0.096674","0.030058","0.009346","0.318310","0.318310","0.000553","0.008793","0.018139","0.037936","0.008793","0.000553","0.000553","0.000553","0.008793"
"108","0.096225","0.029849","0.009259","0.318310","0.318310","0.005764","0.005764","0.015023","0.040532","0.005764","0.003495","0.003495","0.003495","0.015023"
"109","0.095783","0.029644","0.009174","0.318310","0.318310","0.011965","0.002791","0.011965","0.043081","0.011965","0.006383","0.006383","0.006383","0.011965"
"110","0.095346","0.029441","0.009091","0.318310","0.318310","0.008963","0.000128","0.018054","0.045583","0.008963","0.009219","0.009219","0.009219","0.008963"
"111","0.094916","0.029242","0.009009","0.318310","0.318310","0.006014","0.006014","0.024032","0.048040","0.006014","0.002995","0.002995","0.012004","0.015023"
"112","0.094491","0.029046","0.008929","0.318310","0.318310","0.012047","0.003119","0.020976","0.041524","0.003119","0.003119","0.005810","0.014739","0.012047"
"113","0.094072","0.028853","0.008850","0.318310","0.318310","0.017973","0.009124","0.017973","0.035124","0.009124","0.000274","0.000274","0.017425","0.009124"
"114","0.093659","0.028663","0.008772","0.318310","0.318310","0.015023","0.006251","0.015023","0.037608","0.006252","0.002520","0.006251","0.011292","0.006251"
"115","0.093250","0.028476","0.008696","0.318310","0.318310","0.012125","0.003429","0.020820","0.040049","0.012125","0.005266","0.003429","0.005267","0.003429"
"116","0.092848","0.028292","0.008621","0.318310","0.318310","0.017897","0.000656","0.017897","0.033827","0.009276","0.007965","0.000656","0.007965","0.000656"
"117","0.092450","0.028110","0.008547","0.318310","0.318310","0.023570","0.002071","0.015023","0.036259","0.015023","0.010618","0.006476","0.002071","0.006476"
"118","0.092057","0.027931","0.008475","0.318310","0.318310","0.020673","0.004751","0.012198","0.038649","0.012199","0.013225","0.012199","0.004751","0.003724"
